i_subj_all,i_subj_curr,olife_total,i_onset,i_ori,i_trial,contrast,correct
0,0,50,0,1,157,0.031311365352999998,0
0,0,50,0,1,158,0.076299464510100001,1
0,0,50,0,1,159,0.0534310484588,1
0,0,50,0,1,160,0.033226911242099998,1
0,0,50,0,1,161,0.0109676760216,0
0,0,50,0,1,162,0.033226911242099998,0
0,0,50,0,1,163,0.165106831451,1
0,0,50,0,1,164,0.045606399576499999,1
0,0,50,0,1,165,0.0232681672947,0
0,0,50,0,1,166,0.0555885919223,1
0,0,50,0,1,167,0.036683428093900003,1
0,0,50,0,1,168,0.0289279762059,1
0,0,50,0,1,169,0.021075711012800001,1
0,0,50,0,1,170,0.092999663115800005,1
0,0,50,0,1,171,0.0187157098512,0
0,0,50,0,1,172,0.060168561352000001,1
0,0,50,0,1,173,0.042134887026200003,1
0,0,50,0,1,174,0.0219267473268,1
0,0,50,0,1,175,0.027805203280499999,1
0,0,50,0,1,176,0.0121086173724,0
0,0,50,0,1,177,0.027805203280499999,0
0,0,50,0,1,178,0.0242077349001,1
0,0,50,0,1,179,0.020662660803800002,0
0,0,50,0,1,180,0.026726008206200001,0
0,0,50,0,1,181,0.049363931628300002,1
0,0,50,0,1,182,0.043836291971699998,1
0,0,50,0,1,183,0.031937285031400003,1
0,0,50,0,1,184,0.030096086654400001,1
0,0,50,0,1,185,0.0289279762059,1
0,0,50,0,1,186,0.037416736247499999,1
0,0,50,0,1,187,0.0283610341648,0
0,0,50,0,1,188,0.024691651761300001,1
0,0,50,0,1,189,0.0242077349001,1
0,0,50,0,1,190,0.040499518204200002,1
0,0,50,0,1,191,0.038164703359599997,1
0,0,50,0,1,192,0.030697712698699999,1
0,0,50,0,1,193,0.020662660803800002,0
0,0,50,0,1,194,0.027805203280499999,1
0,0,50,0,1,195,0.024691651761300001,0
0,0,50,0,1,196,0.030697712698699999,1
0,0,50,0,1,197,0.025185242205399999,0
0,0,50,0,1,198,0.025688699608899999,0
0,0,50,0,1,199,0.029506251517700002,1
0,0,50,0,1,200,0.034568612504399999,1
0,0,50,0,1,201,0.033226911242099998,1
0,0,50,0,1,202,0.0289279762059,1
0,0,50,0,1,203,0.031937285031400003,0
0,0,50,0,1,204,0.024691651761300001,1
0,0,50,0,1,205,0.0232681672947,0
0,0,50,0,1,206,0.037416736247499999,1
0,0,50,0,1,207,0.027805203280499999,0
0,0,50,0,1,208,0.036683428093900003,1
0,0,50,0,1,209,0.027805203280499999,1
0,0,50,0,1,210,0.030697712698699999,0
0,0,50,0,1,211,0.034568612504399999,0
0,0,50,0,1,212,0.025688699608899999,1
0,0,50,0,1,213,0.023733302034900001,0
0,0,50,0,1,214,0.025688699608899999,0
0,0,50,0,1,215,0.043836291971699998,1
0,0,50,0,1,216,0.041309110667700003,0
0,0,50,0,1,217,0.035964491606600001,0
0,0,50,0,1,218,0.054499144477200001,1
0,0,50,0,1,219,0.052383885413,1
0,0,50,0,1,220,0.049363931628300002,0
0,0,50,0,1,221,0.040499518204200002,1
0,0,50,0,1,222,0.065125876550999995,1
0,0,50,0,1,223,0.0397057924575,1
0,0,50,0,1,224,0.062598165299500005,1
0,0,50,0,1,225,0.0289279762059,0
0,0,50,0,1,226,0.0589893538354,1
0,0,50,0,1,227,0.056699817612500002,0
0,0,50,0,1,228,0.038164703359599997,1
0,0,50,0,1,229,0.073338076116699999,1
0,0,50,0,1,230,0.070491627209100002,1
0,0,50,0,1,231,0.031311365352999998,1
0,0,50,0,1,232,0.036683428093900003,1
0,0,50,0,1,233,0.029506251517700002,1
0,0,50,0,1,234,0.026726008206200001,1
0,0,50,0,1,235,0.067755656675299994,1
0,0,50,0,1,236,0.024691651761300001,0
0,0,50,0,1,237,0.065125876550999995,1
0,0,50,0,1,238,0.035964491606600001,1
0,0,50,0,1,239,0.026726008206200001,1
